id,id_str,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,Has_extended_profile,name,bot
4825633672,4825633672,_blackobs,,"b'Broadcasting live from covert surveillance cameras, one midnight observation at a time.'",https://t.co/GVlymckHnZ,82,0,9,Mon Jan 18 22:22:59 +0000 2016,0,FALSE,4572,en,"{'created_at': 'Sun Mar 12 00:00:06 +0000 2017', 'id': 840713976866566144, 'id_str': '840713976866566144', 'text': b'Now observing a radiotelescope array in Cambridge, United Kingdom. https://t.co/NTELbemrWr', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 840713974421291009, 'id_str': '840713974421291009', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/C6rQ58sWgAEhfIP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C6rQ58sWgAEhfIP.jpg', 'url': 'https://t.co/NTELbemrWr', 'display_url': 'pic.twitter.com/NTELbemrWr', 'expanded_url': 'https://twitter.com/_blackobs/status/840713976866566144/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 731, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 780, 'resize': 'fit'}, 'small': {'w': 680, 'h': 414, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}, 'extended_entities': {'media': [{'id': 840713974421291009, 'id_str': '840713974421291009', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/C6rQ58sWgAEhfIP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C6rQ58sWgAEhfIP.jpg', 'url': 'https://t.co/NTELbemrWr', 'display_url': 'pic.twitter.com/NTELbemrWr', 'expanded_url': 'https://twitter.com/_blackobs/status/840713976866566144/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 731, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 780, 'resize': 'fit'}, 'small': {'w': 680, 'h': 414, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}, 'source': b'<a href=""http://www.matthiasplanitzer.de/"" rel=""nofollow"">Black obs</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",FALSE,FALSE,FALSE,b'blackobs',1
449110269,449110269,amrightnow,"New Jersey, USA",b'Facebook: https://t.co/wLutT8gmj0 YouTube: https://t.co/Rykb1Cxexr',https://t.co/KW8a6wyKfm,39057,33162,339,Wed Dec 28 19:09:40 +0000 2011,3635,FALSE,570426,en,"{'created_at': 'Sun Mar 12 01:01:06 +0000 2017', 'id': 840729329977966592, 'id_str': '840729329977966592', 'text': b'5 simple tips to help create a great website &gt;&gt; https://t.co/DXheY0h9gR #marketing #content #help #business #lincoln https://t.co/bRjDswgpBq', 'truncated': False, 'entities': {'hashtags': [{'text': 'marketing', 'indices': [78, 88]}, {'text': 'content', 'indices': [89, 97]}, {'text': 'help', 'indices': [98, 103]}, {'text': 'business', 'indices': [104, 113]}, {'text': 'lincoln', 'indices': [114, 122]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DXheY0h9gR', 'expanded_url': 'http://chattyi.mp/q4v6o', 'display_url': 'chattyi.mp/q4v6o', 'indices': [54, 77]}], 'media': [{'id': 840729327339786240, 'id_str': '840729327339786240', 'indices': [123, 146], 'media_url': 'http://pbs.twimg.com/media/C6re3mxXUAAAz2X.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C6re3mxXUAAAz2X.jpg', 'url': 'https://t.co/bRjDswgpBq', 'display_url': 'pic.twitter.com/bRjDswgpBq', 'expanded_url': 'https://twitter.com/amrightnow/status/840729329977966592/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 840729327339786240, 'id_str': '840729327339786240', 'indices': [123, 146], 'media_url': 'http://pbs.twimg.com/media/C6re3mxXUAAAz2X.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C6re3mxXUAAAz2X.jpg', 'url': 'https://t.co/bRjDswgpBq', 'display_url': 'pic.twitter.com/bRjDswgpBq', 'expanded_url': 'https://twitter.com/amrightnow/status/840729329977966592/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}}}]}, 'source': b'<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",FALSE,FALSE,TRUE,b'American Right Now',1
7.95E+17,7.95E+17,bethebot,,"b'Just a humble bot tryna make a difference in the world, sharing my inspiration. Made by @harrygiles in #CBDQ'",https://t.co/40iOFUf2sj,44,324,7,Sat Nov 05 10:57:07 +0000 2016,0,FALSE,1028,en,"{'created_at': 'Sun Mar 12 00:48:46 +0000 2017', 'id': 840726222715924480, 'id_str': '840726222715924480', 'text': b'Another world is civil.', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': b'<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",TRUE,FALSE,FALSE,b'The Bot U Want 2 C',1
7.86E+17,7.86E+17,BingoBits,,b'I tweet pieces of Scrabble bingos (7+ letter words). Made by @brindelle.\n\nhttps://t.co/n1X8Sz0CmM',None,4,6,1,Tue Oct 11 20:25:47 +0000 2016,1,FALSE,1216,en,"{'created_at': 'Sun Mar 12 00:47:04 +0000 2017', 'id': 840725795047952387, 'id_str': '840725795047952387', 'text': b'I bet you can make a bingo from: \nEIQRUV?', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': b'<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",TRUE,FALSE,FALSE,b'BingoBits',1
3957192304,3957192304,buoypix,the seven seas,"b""Pictures taken by @NOAA buoys in the middle of the ocean. I'm a bot by @fitnr""",None,113,1,14,Wed Oct 14 15:56:54 +0000 2015,1,FALSE,1031,en,"{'created_at': 'Sun Jan 29 13:34:08 +0000 2017', 'id': 825698544698933248, 'id_str': '825698544698933248', 'text': b'These winds from the SEbE, how they gust at 8.0 m/s https://t.co/6OaSqOuDOe', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 825698542102671361, 'id_str': '825698542102671361', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/media/C3V4cwWWcAEkrki.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C3V4cwWWcAEkrki.jpg', 'url': 'https://t.co/6OaSqOuDOe', 'display_url': 'pic.twitter.com/6OaSqOuDOe', 'expanded_url': 'https://twitter.com/buoypix/status/825698544698933248/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 125, 'resize': 'fit'}, 'small': {'w': 680, 'h': 71, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 213, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 825698542102671361, 'id_str': '825698542102671361', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/media/C3V4cwWWcAEkrki.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C3V4cwWWcAEkrki.jpg', 'url': 'https://t.co/6OaSqOuDOe', 'display_url': 'pic.twitter.com/6OaSqOuDOe', 'expanded_url': 'https://twitter.com/buoypix/status/825698544698933248/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 125, 'resize': 'fit'}, 'small': {'w': 680, 'h': 71, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 213, 'resize': 'fit'}}}]}, 'source': b'<a href=""http://fakeisthenewreal.org/"" rel=""nofollow"">Words & Warps</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",FALSE,FALSE,FALSE,b'buoys',1
3675117253,3675117253,check_o_tron,,b'',None,1307,1,54,Thu Sep 24 22:45:17 +0000 2015,4,FALSE,12791,en,"{'created_at': 'Sun Mar 12 01:13:45 +0000 2017', 'id': 840732511869251584, 'id_str': '840732511869251584', 'text': b'biological entity, you need to think about your tension-- are there any parts of your body you can relax?', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': b'<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 1, 'favorited': False, 'retweeted': False, 'lang': 'en'}",TRUE,FALSE,FALSE,b'Check-O-Tron',1
7.96E+17,7.96E+17,DailyAntifa,,"b""Celebrating antifascist history, building antifascism now & for the future. Tweet 'news' at us with updates to retweet, 'subs' for history to add to our posts.""",None,162,64,9,Wed Nov 09 17:58:13 +0000 2016,0,FALSE,273,en,"{'created_at': 'Sat Mar 11 18:36:04 +0000 2017', 'id': 840632429798907905, 'id_str': '840632429798907905', 'text': b""'Militant Antifascism' is a history and a manifesto for a constant and uncompromising resistance. https://t.co/PMg1JM4djZ"", 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PMg1JM4djZ', 'expanded_url': 'https://www.akpress.org/militant-anti-fascism.html', 'display_url': 'akpress.org/militant-anti-ó', 'indices': [98, 121]}]}, 'source': b'<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",TRUE,FALSE,FALSE,b'Daily Antifascism',1
7.91E+17,7.91E+17,DeepThoughtBot1,,"b""I am Deep Thought Bot. I tweet Images and thoughts and hope they are fun. And I tweet markov chains based on the book The Hitchhiker's Guide to the Galaxy.""",None,42,1,8,Wed Oct 26 19:13:47 +0000 2016,4,FALSE,5075,en,"{'created_at': 'Sun Mar 12 01:01:59 +0000 2017', 'id': 840729549050658816, 'id_str': '840729549050658816', 'text': b""@LostPerlBuilder Dent sat and quivered. He had always seen this as one of the penultimate configuration of the humanoids' brain cells."", 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LostPerlBuilder', 'name': b'friends', 'id': 773718823203704832, 'id_str': '773718823203704832', 'indices': [0, 16]}], 'urls': []}, 'source': b'<a href=""http://google.com"" rel=""nofollow"">DougAdamsMarkovbot</a>', 'in_reply_to_status_id': 840729544076095488, 'in_reply_to_status_id_str': '840729544076095488', 'in_reply_to_user_id': 773718823203704832, 'in_reply_to_user_id_str': '773718823203704832', 'in_reply_to_screen_name': 'LostPerlBuilder', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",TRUE,FALSE,TRUE,b'DeepThoughtBot',1
8.09E+17,8.09E+17,EmojiMoodBot,"San Francisco, CA",b'\xf0\x9f\x98\x80\xf0\x9f\x98\x8d How do you fell ? #emoji #mood #bot #smiley #face Just share your mood ! Just share your emotions ! @EmojiLoveBot @Emojiforest',https://t.co/k8xJtFW1Te,49,383,2,Tue Dec 13 08:39:37 +0000 2016,6,FALSE,824,fr,"{'created_at': 'Sat Mar 11 22:44:03 +0000 2017', 'id': 840694837183672321, 'id_str': '840694837183672321', 'text': b'DO YOU FEEL \xf0\x9f\x98\xa7 ?', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': b'<a href=""http://www.frespech.com"" rel=""nofollow"">MoodBotEmoji</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",FALSE,FALSE,TRUE,b'Mood Bot',1
7.96E+17,7.96E+17,FailureIsOK,,b'I am a failed #NaBoMaMo project by @harrygiles. You are allowed to fail too. I love you.',None,45,20,8,Tue Nov 08 17:37:14 +0000 2016,0,FALSE,509,en,"{'created_at': 'Sun Mar 12 01:00:43 +0000 2017', 'id': 840729232250720256, 'id_str': '840729232250720256', 'text': b""It's all allowed, beautiful failure. &lt;3 &lt;3 &lt;3"", 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': b'<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 1, 'favorited': False, 'retweeted': False, 'lang': 'en'}",TRUE,FALSE,FALSE,b'failurebot',1
