id,id_str,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,Has_extended_profile,name,bot
130457072,130457072,varmagrk,"Hyderabad, Andhra Pradesh",b'AD in Tollywood #photography #Travelling #music #movies #cinema #films..\xf0\x9f\x98\x89\xf0\x9f\x98\x9c\xf0\x9f\x94\xab',None,399,369,4,Wed Apr 07 10:22:31 +0000 2010,916,FALSE,549,en,"{'created_at': 'Thu Mar 09 13:01:34 +0000 2017', 'id': 839823475787370497, 'id_str': '839823475787370497', 'text': b'One more magical moment from the masters..#Cheliyaa trailer \nhttps://t.co/BtKkuAKs4I', 'truncated': False, 'entities': {'hashtags': [{'text': 'Cheliyaa', 'indices': [42, 51]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BtKkuAKs4I', 'expanded_url': 'https://youtu.be/mpWgsW3TzOU', 'display_url': 'youtu.be/mpWgsW3TzOU', 'indices': [61, 84]}]}, 'source': b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 1, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",FALSE,FALSE,FALSE,b'VarmaG',0
129786468,129786468,urstrulyMahesh,"Hyderabad, India",b'Actor in Indian Telugu Cinema',https://t.co/O2DsEo2NWm,3002619,1,5042,Mon Apr 05 11:47:14 +0000 2010,0,TRUE,1080,en,"{'created_at': 'Sat Mar 11 10:05:57 +0000 2017', 'id': 840504056523161600, 'id_str': '840504056523161600', 'text': b'One of my personal favourites..!! :) https://t.co/xxmEBtwa3P', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xxmEBtwa3P', 'expanded_url': 'https://twitter.com/santoshsivan/status/840109599361392642', 'display_url': 'twitter.com/santoshsivan/s€', 'indices': [37, 60]}]}, 'source': b'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': True, 'quoted_status_id': 840109599361392642, 'quoted_status_id_str': '840109599361392642', 'retweet_count': 2361, 'favorite_count': 8673, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",FALSE,FALSE,FALSE,b'Mahesh Babu',0
113944330,113944330,swami9194,"Hyderabad, India",b'Twitter Rookie. cricket Enthusiast. MUFC fan.Sports Lover.Being Lazy.',None,6,148,0,Sat Feb 13 15:14:55 +0000 2010,2,FALSE,16,en,"{'created_at': 'Thu Jan 26 10:40:17 +0000 2017', 'id': 824567632439304192, 'id_str': '824567632439304192', 'text': b'@cricbuzz what a goofup in naming England captain #INDvENG #T20Cricket #cricbuzzgoofup https://t.co/aQvS7p6Auj', 'truncated': False, 'entities': {'hashtags': [{'text': 'INDvENG', 'indices': [50, 58]}, {'text': 'T20Cricket', 'indices': [59, 70]}, {'text': 'cricbuzzgoofup', 'indices': [71, 86]}], 'symbols': [], 'user_mentions': [{'screen_name': 'cricbuzz', 'name': b'Cricbuzz', 'id': 14251256, 'id_str': '14251256', 'indices': [0, 9]}], 'urls': [], 'media': [{'id': 824567590613909504, 'id_str': '824567590613909504', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/C3Fz2tvXgAADuiT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C3Fz2tvXgAADuiT.jpg', 'url': 'https://t.co/aQvS7p6Auj', 'display_url': 'pic.twitter.com/aQvS7p6Auj', 'expanded_url': 'https://twitter.com/swami9194/status/824567632439304192/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 824567590613909504, 'id_str': '824567590613909504', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/C3Fz2tvXgAADuiT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C3Fz2tvXgAADuiT.jpg', 'url': 'https://t.co/aQvS7p6Auj', 'display_url': 'pic.twitter.com/aQvS7p6Auj', 'expanded_url': 'https://twitter.com/swami9194/status/824567632439304192/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}}}, {'id': 824567611937714176, 'id_str': '824567611937714176', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/C3Fz39LW8AAiSww.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C3Fz39LW8AAiSww.jpg', 'url': 'https://t.co/aQvS7p6Auj', 'display_url': 'pic.twitter.com/aQvS7p6Auj', 'expanded_url': 'https://twitter.com/swami9194/status/824567632439304192/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}}}]}, 'source': b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': 14251256, 'in_reply_to_user_id_str': '14251256', 'in_reply_to_screen_name': 'cricbuzz', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",TRUE,FALSE,TRUE,b'swami',0
2151323216,2151323216,sunnymullapudi,"Rochester,NY","b'Modable, entertaimining guy, https://t.co/jBKtxjGU36 Physics Lover'",None,66,69,0,Wed Oct 23 16:46:47 +0000 2013,534,FALSE,245,en,"{'created_at': 'Sat Mar 11 03:19:20 +0000 2017', 'id': 840401728537255937, 'id_str': '840401728537255937', 'text': b'RT @SpeakComedy: im so tired but ill probably be awake until 3 am for no reason', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SpeakComedy', 'name': b'Speak Comedy', 'id': 50618718, 'id_str': '50618718', 'indices': [3, 15]}], 'urls': []}, 'source': b'<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Sat Mar 11 03:17:01 +0000 2017', 'id': 840401146749497344, 'id_str': '840401146749497344', 'text': b'im so tired but ill probably be awake until 3 am for no reason', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">SpeakComedyApp</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 226, 'favorite_count': 306, 'favorited': False, 'retweeted': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 226, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",FALSE,FALSE,FALSE,b'raghuram_mullapudi',0
22938914,22938914,stevewoz,"Los Gatos, California",b'Engineers first! Human rights. Gadgets. Jokes and pranks. Segways. Music and concerts. Gameboy Tetris.',http://t.co/gC1NnB1hgl,572845,86,9644,Thu Mar 05 16:24:20 +0000 2009,5,TRUE,5805,en,"{'created_at': 'Sat Mar 11 06:01:34 +0000 2017', 'id': 840442557050019840, 'id_str': '840442557050019840', 'text': b""I'm at Woz Home in Los Gatos, CA https://t.co/ikf0rK4Loy"", 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ikf0rK4Loy', 'expanded_url': 'https://www.swarmapp.com/c/jewVsFP9GZq', 'display_url': 'swarmapp.com/c/jewVsFP9GZq', 'indices': [33, 56]}]}, 'source': b'<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': {'type': 'Point', 'coordinates': [37.21581003, -121.96437453]}, 'coordinates': {'type': 'Point', 'coordinates': [-121.96437453, 37.21581003]}, 'place': {'id': 'a2de7c70b82b0ca0', 'url': 'https://api.twitter.com/1.1/geo/id/a2de7c70b82b0ca0.json', 'place_type': 'city', 'name': 'Los Gatos', 'full_name': 'Los Gatos, CA', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-121.997026, 37.205924], [-121.905719, 37.205924], [-121.905719, 37.265466], [-121.997026, 37.265466]]]}, 'attributes': {}}, 'contributors': None, 'is_quote_status': False, 'retweet_count': 5, 'favorite_count': 90, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",FALSE,FALSE,FALSE,b'Steve Wozniak',0
33868638,33868638,shrutihaasan,India,b'everything in its right place',None,4863181,405,4869,Tue Apr 21 10:35:52 +0000 2009,138,TRUE,13008,en,"{'created_at': 'Sat Mar 11 21:31:47 +0000 2017', 'id': 840676651222540288, 'id_str': '840676651222540288', 'text': b'Full moon twilights and constant travel #Italy #travelmode #mumbaicalling https://t.co/PlPxGRN9Pd', 'truncated': False, 'entities': {'hashtags': [{'text': 'Italy', 'indices': [40, 46]}, {'text': 'travelmode', 'indices': [47, 58]}, {'text': 'mumbaicalling', 'indices': [59, 73]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PlPxGRN9Pd', 'expanded_url': 'https://www.instagram.com/p/BRg1V7xBmj4/', 'display_url': 'instagram.com/p/BRg1V7xBmj4/', 'indices': [74, 97]}]}, 'source': b'<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 26, 'favorite_count': 179, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",FALSE,FALSE,FALSE,b'shruti haasan',0
89538466,89538466,scottastevenson,"Newfoundland, Canada",b'Guy that exists and makes stuff  https://t.co/rtvdS8Ogs7 https://t.co/Benz6VM0QZ',http://t.co/WDJyJa40T4,1536,1838,34,Thu Nov 12 20:56:23 +0000 2009,616,FALSE,867,en,"{'created_at': 'Fri Mar 10 17:03:46 +0000 2017', 'id': 840246814305587203, 'id_str': '840246814305587203', 'text': b'RT @AngeloBTC: SEC ""Nothing to say about Bitcoin"" https://t.co/EzcVZF01y5', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AngeloBTC', 'name': b'Angelo\xe0\xb8\xbfTC', 'id': 916257050, 'id_str': '916257050', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 840245484060999680, 'id_str': '840245484060999680', 'indices': [50, 73], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/840245484060999680/pu/img/vZKYy1wv7FB4Z5pg.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/840245484060999680/pu/img/vZKYy1wv7FB4Z5pg.jpg', 'url': 'https://t.co/EzcVZF01y5', 'display_url': 'pic.twitter.com/EzcVZF01y5', 'expanded_url': 'https://twitter.com/AngeloBTC/status/840245526368931841/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'small': {'w': 340, 'h': 191, 'resize': 'fit'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'source_status_id': 840245526368931841, 'source_status_id_str': '840245526368931841', 'source_user_id': 916257050, 'source_user_id_str': '916257050'}]}, 'extended_entities': {'media': [{'id': 840245484060999680, 'id_str': '840245484060999680', 'indices': [50, 73], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/840245484060999680/pu/img/vZKYy1wv7FB4Z5pg.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/840245484060999680/pu/img/vZKYy1wv7FB4Z5pg.jpg', 'url': 'https://t.co/EzcVZF01y5', 'display_url': 'pic.twitter.com/EzcVZF01y5', 'expanded_url': 'https://twitter.com/AngeloBTC/status/840245526368931841/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'small': {'w': 340, 'h': 191, 'resize': 'fit'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'source_status_id': 840245526368931841, 'source_status_id_str': '840245526368931841', 'source_user_id': 916257050, 'source_user_id_str': '916257050', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 17067, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/840245484060999680/pu/vid/640x360/wDTcYAAFGp_vQ9Ke.mp4'}, {'bitrate': 320000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/840245484060999680/pu/vid/320x180/J-ajI6sEc0QXl-Id.mp4'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/840245484060999680/pu/pl/W4C1pUfTwB8i19io.m3u8'}]}, 'additional_media_info': {'monetizable': False}}]}, 'source': b'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Fri Mar 10 16:58:39 +0000 2017', 'id': 840245526368931841, 'id_str': '840245526368931841', 'text': b'SEC ""Nothing to say about Bitcoin"" https://t.co/EzcVZF01y5', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 840245484060999680, 'id_str': '840245484060999680', 'indices': [35, 58], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/840245484060999680/pu/img/vZKYy1wv7FB4Z5pg.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/840245484060999680/pu/img/vZKYy1wv7FB4Z5pg.jpg', 'url': 'https://t.co/EzcVZF01y5', 'display_url': 'pic.twitter.com/EzcVZF01y5', 'expanded_url': 'https://twitter.com/AngeloBTC/status/840245526368931841/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'small': {'w': 340, 'h': 191, 'resize': 'fit'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 840245484060999680, 'id_str': '840245484060999680', 'indices': [35, 58], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/840245484060999680/pu/img/vZKYy1wv7FB4Z5pg.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/840245484060999680/pu/img/vZKYy1wv7FB4Z5pg.jpg', 'url': 'https://t.co/EzcVZF01y5', 'display_url': 'pic.twitter.com/EzcVZF01y5', 'expanded_url': 'https://twitter.com/AngeloBTC/status/840245526368931841/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'small': {'w': 340, 'h': 191, 'resize': 'fit'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 17067, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/840245484060999680/pu/vid/640x360/wDTcYAAFGp_vQ9Ke.mp4'}, {'bitrate': 320000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/840245484060999680/pu/vid/320x180/J-ajI6sEc0QXl-Id.mp4'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/840245484060999680/pu/pl/W4C1pUfTwB8i19io.m3u8'}]}, 'additional_media_info': {'monetizable': False}}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 129, 'favorite_count': 166, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 129, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",FALSE,FALSE,FALSE,b'Scott Stevenson',0
56304605,56304605,sardesairajdeep,New Delhi,"b'Father,Friend,journalist seeking a better https://t.co/3jVFYB0076 2014:The Election That Changed India.mail: rajdeepsardesai52@gmail.com. blog: https://t.co/L2nINGl0kb'",https://t.co/sFszrV4NFL,5562030,490,8879,Mon Jul 13 06:14:44 +0000 2009,268,TRUE,46287,en,"{'created_at': 'Sat Mar 11 18:43:09 +0000 2017', 'id': 840634214529847296, 'id_str': '840634214529847296', 'text': b'#Verdict2017 the big picture with @arunjaitley , @ShashiTharoor , @capt_amarinder and others https://t.co/j5dkw81ek6', 'truncated': False, 'entities': {'hashtags': [{'text': 'Verdict2017', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [{'screen_name': 'arunjaitley', 'name': b'Arun Jaitley', 'id': 2183816041, 'id_str': '2183816041', 'indices': [34, 46]}, {'screen_name': 'ShashiTharoor', 'name': b'Shashi Tharoor', 'id': 24705126, 'id_str': '24705126', 'indices': [49, 63]}, {'screen_name': 'capt_amarinder', 'name': b'Capt.Amarinder Singh', 'id': 263090427, 'id_str': '263090427', 'indices': [66, 81]}], 'urls': [{'url': 'https://t.co/j5dkw81ek6', 'expanded_url': 'http://indiatoday.intoday.in/video/assembly-election-results-2017-up-goa-uttarakhand-punjab-manipur-bjp-congress-sp-bsp-aap/1/902653.html', 'display_url': 'indiatoday.intoday.in/video/assembly€', 'indices': [93, 116]}]}, 'source': b'<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 6, 'favorite_count': 52, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",TRUE,FALSE,FALSE,b'Rajdeep Sardesai',0
2818915825,2818915825,saikirareddy28,"Hyderabad, India ","b""There's always a plan B.....""",None,16,62,0,Fri Sep 19 02:38:59 +0000 2014,103,FALSE,18,en,"{'created_at': 'Sun Feb 26 17:33:17 +0000 2017', 'id': 835905590593536001, 'id_str': '835905590593536001', 'text': b'@Samanthaprabhu2 Beautifully worded and all the best for even more beautiful years ahead. - A humble fan to a beautiful soul.', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Samanthaprabhu2', 'name': b'Samantha Ruth Prabhu', 'id': 508932270, 'id_str': '508932270', 'indices': [0, 16]}], 'urls': []}, 'source': b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': 835796055753023489, 'in_reply_to_status_id_str': '835796055753023489', 'in_reply_to_user_id': 508932270, 'in_reply_to_user_id_str': '508932270', 'in_reply_to_screen_name': 'Samanthaprabhu2', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",FALSE,FALSE,FALSE,b'Sai Kiran Reddy G',0
46430009,46430009,rahul_enggheads,india,"b'#Socialdesigner by Passion, #Entrepreneur by Determination, a novice #blogger|Founder of #enggHeads, a #SocialLearningStartup| http://t.co/m42vrJuj61'",None,53,50,2,Thu Jun 11 16:50:59 +0000 2009,5,FALSE,111,en,"{'created_at': 'Tue Jan 24 12:52:58 +0000 2017', 'id': 823876244194213889, 'id_str': '823876244194213889', 'text': b'.@sushmaswaraj @CPVIndia Thank You for all your help with this petition https://t.co/3n8BkpoWwF We appreciate your good governance', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SushmaSwaraj', 'name': b'Sushma Swaraj', 'id': 219617448, 'id_str': '219617448', 'indices': [1, 14]}, {'screen_name': 'CPVIndia', 'name': b'Shri D. M. Mulay', 'id': 2397642349, 'id_str': '2397642349', 'indices': [15, 24]}], 'urls': [{'url': 'https://t.co/3n8BkpoWwF', 'expanded_url': 'http://change.org/passportformydaughters', 'display_url': 'change.org/passportformyd€', 'indices': [72, 95]}]}, 'source': b'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",FALSE,FALSE,FALSE,b'Rahul Aggarwal',0
